country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Central African Republic,,0.654,0.872,0.656,1.07,,,,1.76,,,3.22,5.34,4.54,,,6.01,4.53,3.79,4.08,3.87,3.92,,,,,,,,,,,,,,7.11,,,,6.51,,,8.39,,,,7.73,,
Chad,,,,,,,,,,,,,,,,,,,1.54,1.46,1.63,1.55,,,2.1,2.11,2.51,,,,3.76,,4.81,4.66,4.9,,5.74,,,9.41,8.92,9.46,9.09,10.4,,8.68,8.55,,
Chile,57.7,64,69.8,72.9,73.6,71.3,71.3,72.7,,,,,,78.3,,,,,,,,,,,,,,88.5,,,,,,,,,,,,,,95.4,95.3,91.7,95,93.7,93.3,91.6,
China,,,,,,,,,,,,,,,,,,,,,,,,,,60.5,62.8,71,,,,,,,,,,94.7,98,100,101,105,,104,,,,,
Colombia,,,,,,,,,,,,,,,35,36.5,41.3,42.5,42.8,42.5,,,,,,,,,70.5,,,61.7,67.7,,75.2,81.6,84.9,88.1,91.5,99.2,103,102,99.2,83,83.5,82.9,81.7,81.2,
Comoros,,,,,,,,,,,,16.6,,,,,,,,,19.9,,17,,,,,,,,,,25.2,28.5,29.2,,,,,,,,,49.2,49.5,,,,
"Congo, Dem. Rep.",,4.75,5.56,,6.43,,,,,,,,,,,,,,,,,,7.28,8.25,9.91,,,,,,,,,,,,,,,,,,32.6,33.8,36.1,,,,
"Congo, Rep.",,5,7.04,10.7,15.4,17.7,18.7,23.6,25.9,28.5,,35.1,33.7,29.4,29.9,,,26.6,,19.8,,,,26.9,20.9,,29.9,,,,21.3,25.8,19.9,19.6,31,,,,42.9,41.2,39,43.4,49,,,,,,
Costa Rica,21.8,24.2,29.3,,,,,,,,,36.1,34,,,30.2,29.6,28.4,29.1,27.8,,31.3,33.9,32.2,34.4,34.5,34.4,,,42.1,48.6,48,49.1,,58.3,62,61.7,61.6,63.7,59.3,58.5,58,62.8,59.2,62.6,62.9,59.6,,
Cote d'Ivoire,,2.92,,4.22,3.81,4.32,4.25,4.63,5.19,5.45,6.18,7.32,,7.71,8.19,8.63,8.6,7.82,8.24,,,,,,11.8,,11.3,14.3,14.9,,25.7,16.4,17.8,,,,20.1,19.8,24.9,25.8,,22.4,25.9,,26.5,28.4,32.6,39.4,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,89.7,86.3,82.9,,85.4,90.1,89.8,91.8,89.9,,94.9,97,96.7,99.2,102,99.4,102,97.5,,,,91.7,,
Cuba,,12.3,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,88.5,99.3,85.6,90,91.7,93.6,99.8,96.2,93.7,94.1,92.4,92.8,87.8,95.2,96.3,97.4,94.4,94.6,99.1,
Cyprus,,50.6,51.4,68.1,67.4,63.6,64.4,63.7,66.9,68.3,61,67.9,72.4,66.9,85.6,75.1,73.2,70.4,55.6,,64.5,,,95.5,99.4,93,93.7,95.9,,90.9,93.4,93.7,102,97.2,101,101,103,87.2,99.8,102,95.5,92.6,96.2,98.1,101,97.5,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,94.5,93.7,94.3,94,101,94.4,96.4,95.4,86.6,88.6,92.8,97.7,98.9,99.4,97.4,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,97.4,99.6,100,96.9,98,96.6,98.7,100,,
Djibouti,,,,3.71,3.13,3.3,2.22,,,,,,,,,,,,,,,,,,,,,,,11.3,12.1,,13.5,,,14.7,16.6,18,18.3,26,,41.9,39.2,36.3,35.2,37.9,36.8,41,41.9
Dominica,,,,,,,,,,,,,,,,,,,98.4,,,,,,,,,,,,,,,114,111,94.9,84.1,99.6,103,92,88.9,93.1,89.3,74.9,95.9,97.4,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.8,66.6,,69.2,,78.2,81.8,,86.1,91.7,86.6,86.1,80.8,79.6,82.6,82.3,82.3,88.8,88.4,
Ecuador,,22.6,23.9,,,31.3,35.1,37.2,40.4,46.4,,,,,,,,,,,,,,,49.5,,,,,57.3,57.6,57.8,57.4,57.6,58.8,61,62.9,65.1,,80.1,86.6,84.4,86.3,94.2,103,106,106,,
Egypt,,,,,,,,29.8,34.7,33.4,33.4,,,,,,,,,,,,,,62.5,,,,,,,,,76,75.2,,,,,75.6,,,,82.6,82.4,,86.2,84.2,
El Salvador,13.6,14.8,17.9,21.7,26.7,,33.3,34.9,,,,33.6,37.3,38.9,39.7,,,43.1,42.5,43,,46.6,47.6,50.1,,55.2,55,,,,,63.4,67.7,72.7,,74.7,72.8,72.3,71.7,72.5,79.2,81.9,84.4,82.2,82.8,84.6,81,78.9,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.94,,,,,15.7,,,,,,25.4,27.9,,,23.5,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,8.35,14.4,16.4,15.5,,21.2,22,22.7,24.4,22.9,24.3,,26.4,29.8,29.9,33.6,36.2,44.2,58.7,,,32.9,,30.8,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,92.6,99.3,,,93.7,94,93.3,96.8,,103,106,109,,103,96.8,97.1,96.6,100,103,104,105,107,,
Ethiopia,,,,,,,,,,,,,,,,,,13.6,14.9,,,,,,10.9,9.52,8.86,,,6.39,,,,,,13.5,,,22.7,22.9,24.9,,23.4,,27.9,29,,,
Fiji,,,,,,,,,,,68.8,66.7,,66.2,67.2,63.9,59.8,,,,,,,,,,,,,,,,,94.9,95.3,,,,98.7,93.9,,102,99.9,103,,99,101,,
Finland,,,,,,,,,,,,,,,,,,107,107,105,114,115,117,110,105,,,,,,,,,,105,103,,100,,96.4,97.9,98.2,97.8,99.4,98.4,101,99.2,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,91.7,,,,,,,,,,,98.1,101,98.6,97.7,98.1,99.6,98,98.7,96.9,98.7,,
Gabon,,4.98,6.17,7.84,10.8,,,,,,,,,,,,14.3,,,,,,,,,18.9,,,,,,,,,,,,,,,,,,,,,,,
Gambia,,,,,4.5,,6.47,6.72,6.18,8.42,9.62,10.8,9.8,10.8,10.7,9.79,11,12,,,,,,,,,,,,27.8,30.2,30.8,31.9,42.9,51.3,57.3,61,58.7,54.2,58.4,57.6,63.2,65,63.7,63.5,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.9,84.1,80.6,77.8,78.3,90.3,,,83.7,81.4,90.1,,100,106,100,105,108,109,
Germany,,,,,,,,,,,,,,,,,,,,,,,,76.8,79,79.1,81.4,82.3,,,,,,,83.4,85.5,,89.6,87.1,,,,,,55.7,56.7,57.5,,
Ghana,,34.3,37.5,,39.5,39.1,,,,,,,,,,,,,,,,44.1,47.3,,,,,,,47.7,49.2,47,50.9,48.4,49.3,51.8,,,59.7,65.8,,60.6,60,63.6,63.7,72.8,,73.2,78.6
Greece,,49,49.2,55.7,55.3,57.9,60.4,64,67,70.2,75.8,,84.1,83.6,80.6,82.2,84.4,86.8,87.7,89.5,86.1,86.9,85.7,,,,,,,,,,,,,88,83.3,88.9,,,93.3,91.8,92.1,89,86.2,90.8,88.8,,
Grenada,,,,,,,,,,,,,,60.9,,,,,,,,,,93.5,,,,,,,,,101,95.7,,86.8,,86,,107,,,,,100,88.2,95.4,98.5,
Guatemala,,7.29,,,,9.8,11.7,,,,,,,,,,,,,,,,,,,,,,,24.2,28.2,31.1,34.5,,38,39.8,43.2,45.5,47.7,49.8,54,57.1,57.1,55.2,56.6,60.5,61.2,55.8,
